 Dim = 8
0 0 0 0 -0.00267038 -0.00791989 -0.439333 0.5 -926.5 -0.194104 -0.110234 -2.83984e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 1 0 0 -0.00804145 -0.00958407 -0.468333 8.29925e+06 1 2.09697 0.337345 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 1 -0.00277314 -0.00846301 -0.459667 0.3 -1094.5 -0.250557 -0.125334 -4.2597e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00339629 -0.00784071 -0.446667 1.06712e+07 1 2.9821 0.480162 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00295842 -0.00803589 -0.451 1.22881e+07 1 3.58546 0.593245 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00314599 -0.00789126 -0.442333 1.34609e+07 1 4.02312 0.662814 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00291415 -0.00788965 -0.442 0.5 -920.5 -0.192593 -0.108924 -2.78213e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.0026755 -0.00815242 -0.440333 0.5 -929 -0.194259 -0.110395 -2.86737e+06 
0 0 0 0 -0.0029191 -0.00812623 -0.443 0.475 -937.5 -0.194958 -0.110995 -2.95122e+06 
0 0 0 0 -0.0034177 -0.00804116 -0.451333 1.24416e+07 1 3.64273 0.586739 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00317302 -0.00807473 -0.448 1.3715e+07 1 4.11793 0.675646 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00316191 -0.00785079 -0.445667 1.40305e+07 1 4.23567 0.695718 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.0029158 -0.00813488 -0.442333 0.475 -939.5 -0.195069 -0.11133 -2.97068e+06 
0 0 0 0 -0.0031348 -0.00816084 -0.44 0.475 -944 -0.195433 -0.11236 -3.01799e+06 
ERROR 13 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00268742 -0.00788047 -0.442667 0.525 -916.5 -0.194167 -0.108154 -2.73672e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00314758 -0.0081344 -0.442667 1.45987e+07 1 4.4477 0.733929 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.003367 -0.00791832 -0.440333 0.475 -948.5 -0.195962 -0.112755 -3.05971e+06 
0 0 0 0 -0.003367 -0.00791989 -0.440333 1.49927e+07 1 4.59471 0.757876 1e+20 
0 0 0 0 -0.00268742 -0.00788155 -0.442667 0.475 -937.5 -0.195959 -0.11106 -2.94752e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00337937 -0.00813248 -0.443 1.43491e+07 1 4.35456 0.715812 1e+20 
0 0 0 0 -0.003367 -0.00791989 -0.440333 1.49916e+07 1 4.59429 0.757802 1e+20 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.003138 -0.00791096 -0.440667 0.475 -940.5 -0.19473 -0.111784 -2.98439e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.00336855 -0.00815711 -0.440667 0.5 -924.5 -0.195997 -0.109192 -2.81378e+06 
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
ERROR 13 *  
0 0 0 0 -0.0031364 -0.00815991 -0.440333 0.475 -947.5 -0.195864 -0.112659 -3.05143e+06 
ERROR 13 *  
